flat_type,price,flat_price,address,location,location1,buildup_area,buildupArea_sqft,avg_price_sqft,avg_price_thousands,age_of_property,new_age,which_floor,furnishing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
1 BHK Flat,2.25 Cr,2.25,"Dadar West, Mumbai",Dadar West,Dadar West,550 sq.ft,550,₹40.91 K/sq.ft,40910.0,3 Year Old,3,Higherof 21 floors,Fully Furnished,,2.3 Lacs(Negotiable)Access Zero Brokerage Properties,2.25 Cr,1,2,No Balcony,No Parking,"Resale Flat at new building,  one Bhk  flat 470 carpet area  Two Corer Twenty five Lacks only nigo. 21 th floor with lift, North Entrance, Rcc frame structure with earthquake resistance, building  will have 2 elevator of high repute, underground and Read More"
1 BHK Flat,19.7 L,0.2,"Nakshatra Residency, Saphale, Mumbai",Saphale,others,575 sq.ft,575,₹3.43 K/sq.ft,3430.0,1 Years Old,1,Higherof 4 floors,,Nakshatra Residency,"39,400Access Zero Brokerage Properties",385 sq.ft,1,1,2,No Parking,"1 BHK Flat for sale in Saphale, Mumbai with modern-day amenities. The Flat is in Saphale which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Saphale. The property is on floor 3 Read More"
1 BHK Flat,42.0 L,0.42,"Deep Garden, Lakshmiben Chedda Nagar, Nalasopara West, Mumbai",Nalasopara West,Nalasopara West,595 sq.ft,595,₹7.06 K/sq.ft,7060.0,1 Years Old,1,Middleof 14 floors,Semi Furnished,Deep Garden,No ChargeAccess Zero Brokerage Properties,375 sq.ft,1,1,2,1 Covered and 1 Open Parking,"Deep Garden is where grace meets comfort. Here, life spaces for modern urban Indian families have been presented in an outstanding, awe-inspiring, wonderful and exciting manner. Enjoy a blend of ultra modern amenities that invites you into luxurious,Read More"
1 BHK Flat,1.65 Cr,1.65,"MS H20, Kalina, Santacruz East, Mumbai",Santacruz East,Santacruz East,600 sq.ft,600,₹27.50 K/sq.ft,27500.0,3 Year Old,3,Higherof 13 floors,Unfurnished,,1.6 LacsAccess Zero Brokerage Properties,1.65 Cr,1,2,No Balcony,1 Covered Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Santacruz East. It is situated on floor 9. The total number of floors in this Flat is 13. The property price of thiRead More"
1 BHK Flat,1.6 Cr,1.6,"Kalina, Santacruz East, Mumbai",Santacruz East,Santacruz East,580 sq.ft,580,₹27.59 K/sq.ft,27590.0,unknown,unknown,unknown,,,1.6 LacsAccess Zero Brokerage Properties,1.6 Cr,1,2,No Balcony,1 Covered Parking,"1 BHK Flat for sale in Santacruz East, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Santacruz East and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in SRead More"
1 BHK Flat,1.88 Cr,1.88,"Park Road, Vile Parle East, Mumbai",Vile Parle East,Vile Parle East,615 sq.ft,615,₹30.57 K/sq.ft,30570.0,1 Years Old,1,Higherof 2 floors,Unfurnished,,No ChargeAccess Zero Brokerage Properties,1.88 Cr,1,2,No Balcony,1 Covered Parking,"2 Bhk  apartment is available for sale ready to move. Surrounding with very nice peaceful locality close to highway, station and market. Please contact for more details. More About This Property One of the finest property in Vile Parle East is now avRead More"
1 BHK Flat,1.4 Cr,1.4,"Shapoorji Pallonji Vicinia, Sainath Nagar, Powai, Mumbai",Powai,Powai,600 sq.ft,600,₹23.33 K/sq.ft,23330.0,1 Years Old,1,Middleof 21 floors,Semi Furnished,Shapoorji Pallonji Vicinia,1.4 LacsAccess Zero Brokerage Properties,415 sq.ft,1,1,No Balcony,1 Covered Parking,"Check out this 1 BHK apartment for sale in Shapoorji Pallonji Vicinia, a popular residential project that houses in-demand flats in Chandivali, Central mumbai. The flat is over 600 sq.ft. Super built up area and comes with 1 bedroom(s), 1 bathroom . Read More"
1 BHK Flat,1.65 Cr,1.65,"MS H20, Kalina, Santacruz East, Mumbai",Santacruz East,Santacruz East,600 sq.ft,600,₹27.50 K/sq.ft,27500.0,3 Year Old,3,Higherof 13 floors,Unfurnished,,1.6 LacsAccess Zero Brokerage Properties,1.65 Cr,1,2,No Balcony,1 Covered Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Santacruz East. It is situated on floor 9. The total number of floors in this Flat is 13. The property price of thiRead More"
1 BHK Flat,1.36 Cr,1.36,"Godrej Urban Park, Chandivali, Powai, Mumbai",Powai,Powai,550 sq.ft,550,₹24.73 K/sq.ft,24730.0,1 Years Old,1,Middleof 15 floors,Semi Furnished,Godrej Urban Park,1.4 LacsAccess Zero Brokerage Properties,451 sq.ft,1,2,No Balcony,1 Covered Parking,"Property for sale in Powai, Mumbai. This 1 BHK Flat is located in Mumbai's most promising location. It is on floor 7. The total number of floors in this building is 15. This Flat's price is Rs 1.36 Cr. Homebuyers will also need to pay Rs 4500 towardsRead More"
1 BHK Flat,33.47 L,0.33,"Sunteck West World, Naigaon East, Mumbai",Naigaon East,Naigaon East,610 sq.ft,610,₹5.49 K/sq.ft,5490.0,1 Years Old,1,Middleof 22 floors,Unfurnished,Sunteck West World,"66,940(Negotiable)Access Zero Brokerage Properties",392 sq.ft,1,2,2,1 Open Parking,"Prime Location, Nice View, Amenities included like Gym, Swimming Pool, Club House, Garden etc., Oc Received Building, Distance From Railway Station is within 1.5km.
 More About This Property A 1 BHK Flat for sale in Naigaon East, Mumbai. This beautifRead More"
1 BHK Flat,1.6 Cr,1.6,"Sindhi Society, Chembur, Mumbai",Chembur,Chembur,445 sq.ft,445,₹35.95 K/sq.ft,35950.0,4 Year Old,4,Higherof 13 floors,Semi Furnished,,1.6 LacsAccess Zero Brokerage Properties,1.6 Cr,1,2,No Balcony,1 Covered Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Chembur. It is situated on floor 9. The total number of floors in this Flat is 13. The property price of this unit Read More"
1 BHK Flat,95.0 L,0.95,"Tilak Nagar, Chembur, Mumbai",Chembur,Chembur,455 sq.ft,455,₹20.88 K/sq.ft,20880.0,unknown,unknown,unknown,,,"95,000Access Zero Brokerage Properties",95.0 L,1,1,No Balcony,No Parking,"AVAILABLE 1 BHK UNFURNISHED FLAT FOR SELL NEAR BY TILAK NAGAR JUNCTION IN A PRIME AND POSH LOCATION OF TILAK NAGAR More About This Property Check out this 1 BHK Flat for sale in Kurla, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. KuRead More"
1 BHK Flat,1.65 Cr,1.65,"Hiranandani Regent Hill C D And E Wing, Hiranandani Gardens, Powai, Mumbai",Powai,Powai,630 sq.ft,630,₹26.19 K/sq.ft,26190.0,2 Year Old,2,Middleof 23 floors,Unfurnished,Hiranandani Regent Hill C D And E Wing,1.6 LacsAccess Zero Brokerage Properties,380 sq.ft,1,2,No Balcony,1 Covered Parking,"Available 1bhk for sale in Regent hill, Hiranandani Gardens Powai. built up 630 carpet 380 price 1.65cr More About This Property Looking for a good 1 BHK Flat in Powai, Mumbai? This property is in one of Mumbai's most popular locations. The property Read More"
1 BHK Flat,1.09 Cr,1.09,"I C colony, Satya Nagar, Borivali West, Mumbai",Borivali West,Borivali West,590 sq.ft,590,₹18.47 K/sq.ft,18470.0,2 Year Old,2,Middleof 7 floors,Unfurnished,,1.1 LacsAccess Zero Brokerage Properties,1.09 Cr,1,2,No Balcony,No Parking,"1 BHK Flat for sale in Mumbai. This property is in Borivali West, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 4. The Read More"
1 BHK Flat,1.1 Cr,1.1,"Untouch Flat, Yogi Nagar, Borivali West, Mumbai",Borivali West,Borivali West,600 sq.ft,600,₹18.33 K/sq.ft,18330.0,unknown,unknown,unknown,,,1.0 Lac(Negotiable)Access Zero Brokerage Properties,1.1 Cr,1,2,No Balcony,1 Covered Parking,"A perfect abode, where opulence is the way of life. It's a world of chosen luxury, soulful comfort, and of course best of conveyances. Truly, its a home beyond your dreams. Offering premium living space embedded with outstanding features, its your owRead More"
1 BHK Flat,1.2 Cr,1.2," Teakwood Apartment, P&T Staff Colony, Mulund West, Mumbai",Mulund West,Mulund West,450 sq.ft,450,₹26.67 K/sq.ft,26670.0,1 Years Old,1,Middleof 32 floors,Unfurnished, Teakwood Apartment,2.0 Lacs(Negotiable)Access Zero Brokerage Properties,312 sq.ft,1,2,1,1 Open Parking,"Sugee project 3 stunning towers with 38 storeyed, 6 level of Podium with A2 -way ramp acess. Swimming pool, kids area, Gym, Garden and park for old citizen, Pet friendly, all ammenities, 10 min walking distance from mulund station, Per floor 8 ApartmRead More"
1 BHK Flat,1.2 Cr,1.2,"Mother Dairy Road, Nehru Nagar, Kurla East, Mumbai",Kurla East,Kurla East,725 sq.ft,725,₹16.55 K/sq.ft,16550.0,1 Years Old,1,Middleof 18 floors,Semi Furnished,1.2 LacsAccess Zero Brokerage Properties,1.2 Cr,1,2,1,7 days ago,1 Open Parking,"Looking for a good 1 BHK Flat in Kurla, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 7. Total number of floors is 18. This Flat is available for Rs 1.2 Cr. This modern unit has a built-up area of 725 SqRead More"
1 BHK Flat,90.0 L,0.9,"Mulund East, Mumbai",Mulund East,Mulund East,600 sq.ft,600,₹15 K/sq.ft,15000.0,1 Years Old,1,Middleof 14 floors,Unfurnished,,"90,000Access Zero Brokerage Properties",90.0 L,1,2,No Balcony,1 Open Parking,"A new ready to move flat for sale in mulund East...nanepada location  More About This Property Check out this 1 BHK Flat for sale in Mulund East, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Mulund East is a promising location in MuRead More"
1 BHK Flat,1.5 Cr,1.5,"Hiranandani Regent Hill C D And E Wing, Hiranandani Gardens, Powai, Mumbai",Powai,Powai,630 sq.ft,630,₹23.81 K/sq.ft,23810.0,2 Year Old,2,Middleof 23 floors,Semi Furnished,Hiranandani Regent Hill C D And E Wing,1.5 Lacs(Negotiable)Access Zero Brokerage Properties,380 sq.ft,1,2,No Balcony,1 Covered Parking,"Available 1 Bhk Regent hill new building 
Nice property 
Immediately available Flat  More About This Property Check out this 1 BHK Flat for sale in Powai, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Powai is a promising location inRead More"
1 BHK Flat,1.0 Cr,1.0,"Godrej Tranquil, Hanuman Nagar, Kandivali East, Mumbai",Kandivali East,Kandivali East,700 sq.ft,700,₹14.29 K/sq.ft,14290.0,2 Year Old,2,Middleof 21 floors,Unfurnished,Godrej Tranquil,1.0 LacAccess Zero Brokerage Properties,429 sq.ft,1,2,No Balcony,1 Covered Parking,"1 BHK in Godrej Tranquil brand new apartment with all amenities like swimming pool, gym, garden,club house, etc with car parking.
Asking price-1cr.
429sqft.  carpet
With car parking.
front side facing north available More About This Property Check ouRead More"
1 BHK Flat,1.6 Cr,1.6,"Hiranandani Regent Hill C D And E Wing, Hiranandani Gardens, Powai, Mumbai",Powai,Powai,615 sq.ft,615,₹26.02 K/sq.ft,26020.0,1 Years Old,1,Lowerof 23 floors,Semi Furnished,Hiranandani Regent Hill C D And E Wing,1.6 LacsAccess Zero Brokerage Properties,380 sq.ft,1,2,No Balcony,1 Covered Parking,"One of the Recently constructed tower of Hiranandani beautifully done up 1BHK with All white Goods More About This Property Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, PowaiRead More"
1 BHK Flat,2.25 Cr,2.25,"Lodha New Cuffe Parade, Sion, Mumbai",Sion,Sion,650 sq.ft,650,₹34.62 K/sq.ft,34620.0,3 Year Old,3,Middleof 35 floors,Semi Furnished,Lodha New Cuffe Parade,No ChargeAccess Zero Brokerage Properties,470 sq.ft,1,2,No Balcony,1 Covered Parking,"Check out this 1 BHK Flat for sale in Sion, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Sion is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is located on floorRead More"
1 BHK Flat,36.0 L,0.36,"Poonam Vista B and C wing, Global City, Virar West, Mumbai",Virar West,Virar West,610 sq.ft,610,₹5.90 K/sq.ft,5900.0,1 Years Old,1,Middleof 11 floors,Semi Furnished,Poonam Vista B and C wing,"72,000(Negotiable)Access Zero Brokerage Properties",1,1,2,5 days ago,1 Open Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Virar West. It is situated on floor 7. The total number of floors in this Flat is 11. The property price of this unRead More"
1 BHK Flat,31.7 L,0.32,"Vinay Unique Gardens, Global City, Virar West, Mumbai",Virar West,Virar West,663 sq.ft,663,₹4.78 K/sq.ft,4780.0,4 Year Old,4,Middleof 15 floors,Semi Furnished,Vinay Unique Gardens,"63,400Access Zero Brokerage Properties",447 sq.ft,1,1,1,1 Open Parking,"1 BHK Flat for sale in Virar West, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Virar West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Virar WesRead More"
1 BHK Flat,1.0 Cr,1.0,"Valmik Nagar, Bhandup West, Mumbai",Bhandup West,Bhandup West,600 sq.ft,600,₹16.67 K/sq.ft,16670.0,4 Year Old,4,Higherof 17 floors,Fully Furnished,Mayuresh Park,1.0 LacAccess Zero Brokerage Properties,450 sq.ft,1,1,No Balcony,1 Covered and 1 Open Parking,"Mayuresh Park , 1BHK , Fully Furnished flat , The beautiful Mayuresh Park's commencement certificate has been granted. And the occupancy certificate granted too. A renowned builder Mayuresh Group has crafted Mayuresh Park with a lot of perfection. PrRead More"
1 BHK Flat,1.24 Cr,1.24,"Charisma Samara, Sai Baba Nagar, Chembur, Mumbai",Chembur,Chembur,499 sq.ft,499,₹24.85 K/sq.ft,24850.0,1 Years Old,1,Higherof 14 floors,Unfurnished,Charisma Samara,No ChargeAccess Zero Brokerage Properties,419 sq.ft,1,2,No Balcony,No Parking,"Luxury never fades, only revives"" this fact helped us to come up with the concept of Samara. Samara, where personal aspirations and professional accomplishments converge. And luxury living ascends new heights, setting new standards, promising a dynamRead More"
1 BHK Flat,1.1 Cr,1.1,"Ashoka Swaroop Residency, Laxmi Nagar, Ghatkopar East, Mumbai",Ghatkopar East,Ghatkopar East,489 sq.ft,489,₹22.49 K/sq.ft,22490.0,1 Years Old,1,Higherof 16 floors,Fully Furnished,Ashoka Swaroop Residency,No ChargeAccess Zero Brokerage Properties,489 sq.ft,1,1,No Balcony,1 Covered and 1 Open Parking,"Swaroop Residency is one of the best projects in Ghatkopar East to live in. With great transportation connectivity and impeccable modern amenities,  More About This Property Looking for a good 1 BHK Flat in Ghatkopar East, Mumbai? This property is inRead More"
1 BHK Flat,94.5 L,0.94,"phancode 80, Vardhman Nagar, Mulund West, Mumbai",Mulund West,Mulund West,520 sq.ft,520,₹18.17 K/sq.ft,18170.0,unknown,unknown,unknown,,,No ChargeAccess Zero Brokerage Properties,94.5 L,1,1,No Balcony,1 Open Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Mulund West. It is situated on floor 22. The total number of floors in this Flat is 22. The property price of this Read More"
1 BHK Flat,70.0 L,0.7,"JP North Barcelona, Chandan Shanti, Mira Road East, Mumbai",Mira Road East,Mira Road East,650 sq.ft,650,₹10.77 K/sq.ft,10770.0,1 Years Old,1,Middleof 25 floors,Semi Furnished,JP North Barcelona,1.0 Lac(Negotiable)Access Zero Brokerage Properties,470 sq.ft,1,2,2,1 Covered Parking,"If you are looking for a residential establishment in the Eastern side of Mira road in Mumbai, then Codename Open Streets could be the perfect next address for you. Here you will get the availability of quality housing facilities in all budget categoRead More"
1 BHK Flat,1.06 Cr,1.06,"Teenmurty Summit, Devala Pada, Borivali East, Mumbai",Borivali East,Borivali East,787 sq.ft,787,₹13.47 K/sq.ft,13470.0,unknown,unknown,unknown,,Teenmurty Summit,No ChargeAccess Zero Brokerage Properties,477 sq.ft,1,2,No Balcony,No Parking,"Teenmurty Summit is a Ready to move housing project at Borivali East in Mumbai, being developed by B.G Shirke Group of Companies. Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Teenmurty Summit encRead More"
1 BHK Flat,1.7 Cr,1.7,"Godrej Nest, Lokhandwala Township, Kandivali East, Mumbai",Kandivali East,Kandivali East,670 sq.ft,670,₹25.37 K/sq.ft,25370.0,unknown,unknown,unknown,,Godrej Nest,No ChargeAccess Zero Brokerage Properties,429 sq.ft,1,2,No Balcony,1 Covered Parking,"Quick overview of Godrej Nest

Imagine a home so secure, all your safety woes disappear. A feeling so secure, just like you would take care of your loved ones. Godrej Properties brings to you homes with 7 tier security where you are looked after at aRead More"
1 BHK Flat,33.0 L,0.33,"Sunteck West World, Naigaon East, Mumbai",Naigaon East,Naigaon East,600 sq.ft,600,₹5.50 K/sq.ft,5500.0,2 Year Old,2,Middleof 23 floors,Unfurnished,Sunteck West World,"60,000(Negotiable)Access Zero Brokerage Properties",392 sq.ft,1,1,2,1 Open Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Naigaon East. It is situated on floor 15. The total number of floors in this Flat is 23. The property price of thisRead More"
1 BHK Flat,1.15 Cr,1.15,"Prerna shimpoli borivali west, Babhai, Borivali West, Mumbai",Borivali West,Borivali West,550 sq.ft,550,₹20.91 K/sq.ft,20910.0,unknown,unknown,unknown,,,1.1 LacsAccess Zero Brokerage Properties,1.15 Cr,1,2,No Balcony,1 Covered and 1 Open Parking,"Looking for a good 1 BHK Flat in Borivali West, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 4. Total number of floors is 10. Maintenance charges of this property is Rs 2500. This Flat is available for Read More"
1 BHK Flat,1.22 Cr,1.22,"Rajkamal, Yogi Nagar, Borivali West, Mumbai",Borivali West,Borivali West,403 sq.ft,403,₹30.27 K/sq.ft,30270.0,1 Years Old,1,Lowerof 18 floors,Unfurnished,,1.2 LacsAccess Zero Brokerage Properties,1.22 Cr,1,2,No Balcony,1 Covered Parking,"it is a 1BHK Flat at Brand New Tower with Master Bedroom, 24 Hours Water, CCTV, Security Guard, 2 Lift in the Society, Close to the Link Road, Metro Station, Petrol pump, Grocery Stores, Pharmacy, Hospitals, Banks, School, Market, More About This ProRead More"
1 BHK Flat,1.28 Cr,1.28,"Jet Shiv Tapasya, Mhada Colony, Borivali West, Mumbai",Borivali West,Borivali West,650 sq.ft,650,₹19.69 K/sq.ft,19690.0,1 Years Old,1,Middleof 22 floors,Unfurnished,Jet Shiv Tapasya,No ChargeAccess Zero Brokerage Properties,430 sq.ft,1,2,No Balcony,1 Covered Parking,"1 BHK flats for sale in Shiv Tapasya tower Eksar Road Borivali West .5 min walking distance Link Road & metro station. 10 min walking distances Borivali Railway Station. Building near  mall , hotel , banks . ATM etc. More About This Property 1 BHK FlRead More"
1 BHK Flat,1.75 Cr,1.75,"GREEN CHAMBERS, Dalal Estate, Kamathipura, Mumbai",Kamathipura,Kamathipura,710 sq.ft,710,₹24.65 K/sq.ft,24650.0,2 Year Old,2,Higherof 20 floors,Unfurnished,,1.7 LacsAccess Zero Brokerage Properties,1.75 Cr,1,2,No Balcony,No Parking,"Green Chambers @Nagpada 
1Bed 
456 sq ft carpet 
710 buildup 
New construction
Parking available on extra cost 

 More About This Property 1 BHK Flat for sale in Kamathipura, Mumbai - contact now, for details about the most coveted property. This 1 BRead More"
1 BHK Flat,33.5 L,0.34,"Shivani Gemini CHSL, Lakshmiben Chedda Nagar, Nalasopara West, Mumbai",Nalasopara West,Nalasopara West,610 sq.ft,610,₹5.49 K/sq.ft,5490.0,1 Years Old,1,Middleof 12 floors,Semi Furnished,Shivani Gemini CHSL,"67,000Access Zero Brokerage Properties",400 sq.ft,1,1,2,1 Open Parking,"1 Bhk Flat For sale Nalasopara west walking Distens 10 Minutes From Station Nr. By Rahul International School,Police Station,Dmart. More About This Property Property for sale in Nalasopara West, Mumbai. This 1 BHK Flat is located in Mumbai's most proRead More"
1 BHK Flat,72.0 L,0.72,"Sunrise, Dominic Colony, Malad West, Mumbai",Malad West,Malad West,350 sq.ft,350,₹20.57 K/sq.ft,20570.0,1 Years Old,1,Lowerof 6 floors,Unfurnished,Sunrise,"75,000Access Zero Brokerage Properties",285 sq.ft,1,2,No Balcony,No Parking,A compact 1 bhk for sale in a new bldg prime location of orlem church ready to move with oc available..water 24 hrs.. with gas pipe connections available.  Hop skip and jump to church school college market link road and a.v road .. metro work is in fRead More
1 BHK Flat,1.6 Cr,1.6,"Lodha New Cuffe Parade Lodha Estrella, Sion, Mumbai",Sion,Sion,610 sq.ft,610,₹26.23 K/sq.ft,26230.0,1 Years Old,1,Lowerof 43 floors,Fully Furnished,Lodha New Cuffe Parade Lodha Estrella,1.6 LacsAccess Zero Brokerage Properties,460 sq.ft,1,1,2,1 Covered Parking,"1 BHK Flat for sale in Sion, Mumbai with modern-day amenities. The Flat is in Sion which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Sion. The property is on floor 2 and the tRead More"
1 BHK Flat,1.7 Cr,1.7,"Lodha Ncpa, BPT Colony, Wadala, Mumbai",Wadala,Wadala,625 sq.ft,625,₹27.20 K/sq.ft,27200.0,3 Year Old,3,Lowerof 25 floors,Fully Furnished,1.7 Lacs(Negotiable)Access Zero Brokerage Properties,1.7 Cr,1,2,1,18 days ago,1 Covered Parking,This Property his 1bhk Furnish flat in Ncpa Wadal New Towar Nice Done Up Flat With City Views & Balcony. all Moder Amenities Good Connectivity to all Over Mumbai  More About This Property One of the finest property in Wadala West is now available forRead More
1 BHK Flat,1.65 Cr,1.65,"Tagore Road, Santacruz West, Mumbai",Santacruz West,Santacruz West,500 sq.ft,500,₹33 K/sq.ft,33000.0,1 Years Old,1,Middleof 11 floors,Unfurnished,1.6 LacsAccess Zero Brokerage Properties,1.65 Cr,1,1,1,18 days ago,1 Open Parking,"1bhk 1;55 cr higher floor, with adjacent common terrace, one parking, 406 rera carpet santacruz east, new construction , call for more details More About This Property One of the finest property in Santacruz West is now available for sale. This is a Read More"
1 BHK Flat,78.0 L,0.78,"Lalani Heritage Park, Shastri Nagar, Jogeshwari West, Mumbai",Jogeshwari West,Jogeshwari West,380 sq.ft,380,₹20.53 K/sq.ft,20530.0,3 Year Old,3,Lowerof 21 floors,Unfurnished,Lalani Heritage Park,"78,000Access Zero Brokerage Properties",280 sq.ft,1,1,No Balcony,No Parking,"Available studio apartment in lalani heritage at aqsa masjid lane, jogeshwari west
 More About This Property Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Jogeshwari West. It Read More"
1 BHK Flat,1.6 Cr,1.6,"Hiranandani Regent Hill C D And E Wing, Ramabai Ambedkar Nagar, Powai, Mumbai",Powai,Powai,600 sq.ft,600,₹26.67 K/sq.ft,26670.0,2 Year Old,2,Higherof 23 floors,Semi Furnished,Hiranandani Regent Hill C D And E Wing,1.6 LacsAccess Zero Brokerage Properties,380 sq.ft,1,1,No Balcony,1 Covered Parking,"This 1 BHK flat in Hiranandani Gardens Powai is available for rent, one of the most prominent projects for residential flats in central mumbai suburbs. Property has attached 2 bathrooms with 1 Rooms set in 600  sq.Ft.  built-Up area. Electricity & waRead More"
1 BHK Flat,75.0 L,0.75,"excellent tower, P&T Staff Colony, Mulund West, Mumbai",Mulund West,Mulund West,460 sq.ft,460,₹16.30 K/sq.ft,16300.0,1 Years Old,1,Higherof 26 floors,Unfurnished,,"75,000Access Zero Brokerage Properties",75.0 L,1,2,No Balcony,1 Open Parking,"1 BHK Flat for sale in Mulund West, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Mulund West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Mulund Read More"
1 BHK Flat,2.5 Cr,2.5,"Sugee Preksha, Hindu Colony, Dadar East, Mumbai",Dadar East,Dadar East,573 sq.ft,573,₹43.63 K/sq.ft,43630.0,3 Year Old,3,Middleof 9 floors,Semi Furnished,Sugee Preksha,2.5 LacsAccess Zero Brokerage Properties,473 sq.ft,1,1,No Balcony,1 Covered Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Dadar East. It is on floor 5 out of 9 floors. This Flat is available at a reasonable price of Rs 2.5 Cr. The built up area of thiRead More"
1 BHK Flat,85.0 L,0.85,"Vikhroli East, Mumbai",Vikhroli East,Vikhroli East,450 sq.ft,450,₹18.89 K/sq.ft,18890.0,2 Year Old,2,Higherof 23 floors,,,"85,000Access Zero Brokerage Properties",85.0 L,1,2,No Balcony,No Parking,"Spacious 1BHK on higher floor, Nearby locations Market, Railway Station, Schools, Hospitals, Good construction, kitchen trolly provided More About This Property Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK properRead More"
1 BHK Flat,32.0 L,0.32,"Nakshatra Prithvi, Vasai East Salt Plant, Vasai East, Mumbai",Vasai East,Vasai East,595 sq.ft,595,₹5.38 K/sq.ft,5380.0,unknown,unknown,unknown,,"60,000Access Zero Brokerage Properties",32.0 L,1,1,2,2 days ago,No Parking,"Prime Location,Main road tuch building,All amenities in this project heigher floor full package  More About This Property Check out this 1 BHK Flat for sale in Vasai East, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Vasai East is aRead More"
1 BHK Flat,1.07 Cr,1.07,"Dahisar West, Mumbai",Dahisar West,Dahisar West,515 sq.ft,515,₹20.78 K/sq.ft,20780.0,3 Year Old,3,Lowerof 15 floors,Unfurnished,,1.1 LacsAccess Zero Brokerage Properties,1.07 Cr,1,2,No Balcony,1 Covered Parking,"West open 1bhk having 430sq.ft carpet area with 1 Stilt Car Parking available for sale.
Building is 3 years old with OC,
Opp Dahisar West Railway Station,Main Road touch building.
Investors flat,so it's untouched,Ready to move. More About This ProperRead More"
1 BHK Flat,67.66 L,0.68,"RNA NG Baveno, Chandan Shanti, Mira Road East, Mumbai",Mira Road East,Mira Road East,700 sq.ft,700,₹9.66 K/sq.ft,9660.0,3 Year Old,3,Middleof 7 floors,Fully Furnished,RNA NG Baveno,"69,000Access Zero Brokerage Properties",450 sq.ft,1,2,2,1 Open Parking,"1 BHK Flat for sale in Mira Bhayandar, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Mira Bhayandar and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in MRead More"
1 BHK Flat,1.2 Cr,1.2,"Sunder Shree Madhuvandham, Poisar, Borivali West, Mumbai",Borivali West,Borivali West,557 sq.ft,557,₹21.54 K/sq.ft,21540.0,3 Year Old,3,Higherof 23 floors,Unfurnished,Sunder Shree Madhuvandham,1.2 LacsAccess Zero Brokerage Properties,457 sq.ft,1,2,No Balcony,1 Covered Parking,"A 1 BHK Flat for sale in Borivali West, Mumbai. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Borivali West's most desired properties. Contact now for more information. This 1 BHK unit is on floor 18. There are 23 flRead More"
1 BHK Flat,30.0 L,0.3,"Star Heights, Morya Nagar, Nalasopara West, Mumbai",Nalasopara West,Nalasopara West,660 sq.ft,660,₹4.54 K/sq.ft,4540.0,1 Years Old,1,Middleof 12 floors,Semi Furnished,Star Heights,No ChargeAccess Zero Brokerage Properties,1,1,2,14 days ago,1 Open Parking,"Ready Possession tower in Nalasopara Virar link road touch tower, all gated community allowed. Rera approved project so all leading banks loan sanction. Near market Dmart Mall school hospital etc... More About This Property Looking for a good 1 BHK FRead More"
